distance,reference
2.46,-0.707961144287678
2.47,-0.7066860707900837
2.48,-0.7054248725785983
2.49,-0.7041774239556771
2.5,-0.7029435997235264
2.51,-0.7017232752113027
2.52,-0.7005163263002497
2.53,-0.6993226294468436
2.54,-0.6981420617040015
2.55,-0.696974500740448
2.56,-0.6958198248582889
2.57,-0.6946779130088774
2.58,-0.693548644807046
2.59,-0.6924319005437758
2.6,-0.6913275611973774
2.61,-0.6902355084432633
2.62,-0.6891556246623753
2.63,-0.688087792948354
2.64,-0.6870318971135129
2.65,-0.6859878216937015
2.66,-0.6849554519521088
2.67,-0.683934673882103
2.68,-0.6829253742091556
2.69,-0.6819274403919295
2.7,-0.6809407606225888
2.71,-0.6799652238264016
2.72,-0.6790007196606944
2.73,-0.678047138513219
2.74,-0.6771043714999898
2.75,-0.6761723104626474
2.76,-0.6752508479654061
2.77,-0.674339877291634
2.78,-0.6734392924401107
2.79,-0.6725489881210223
2.8,-0.671668859751728
2.81,-0.6707988034523403
2.82,-0.6699387160411713
2.83,-0.6690884950300666
2.84,-0.6682480386196775
2.85,-0.6674172456946883
2.86,-0.6665960158190505
2.87,-0.6657842492312317
2.88,-0.66498184683952
2.89,-0.6641887102174063
2.9,-0.6634047415990401
2.91,-0.662629843874845
2.92,-0.6618639205872311
2.93,-0.6611068759264793
2.94,-0.6603586147267757
2.95,-0.6596190424624395
2.96,-0.6588880652443271
2.97,-0.6581655898164325
2.98,-0.6574515235527036
2.99,-0.6567457744540519
3.0,-0.6560482511455908
3.01,-0.6553588628740761
3.02,-0.6546775195055808
3.03,-0.6540041315233693
3.04,-0.6533386100260057
3.05,-0.6526808667256657
3.06,-0.6520308139466662
3.07,-0.6513883646242006
3.08,-0.6507534323032786
3.09,-0.6501259311378595
3.1,-0.6495057758901857
3.11,-0.6488928819302858
3.12,-0.6482871652356681
3.13,-0.6476885423911727
3.14,-0.6470969305889864
3.15,-0.6465122476288112
3.16,-0.6459344119181651
3.17,-0.6453633424728201
3.18,-0.6447989589173618
3.19,-0.6442411814858583
3.2,-0.6436899310226285
3.21,-0.643145128983104
3.22,-0.6426066974347693
3.23,-0.6420745590581725
3.24,-0.6415486371479912
3.25,-0.6410288556141586
3.26,-0.6405151389830113
3.27,-0.6400074123984855
3.28,-0.6395056016233136
3.29,-0.6390096330402424
3.3,-0.638519433653248
3.31,-0.6380349310887372
3.32,-0.6375560535967351
3.33,-0.6370827300520454
3.34,-0.6366148899553734
3.35,-0.6361524634344016
3.36,-0.6356953812448256
3.37,-0.6352435747713164
3.38,-0.6347969760284283
3.39,-0.6343555176614277
3.4,-0.6339191329470483
3.41,-0.633487755794151
3.42,-0.6330613207443103
3.43,-0.6326397629722839
3.44,-0.6322230182863995
3.45,-0.6318110231288248
3.46,-0.6314037145757319
3.47,-0.6310010303373509
3.48,-0.6306029087578983
3.49,-0.6302092888153921
3.5,-0.6298201101213459
3.51,-0.6294353129203277
3.52,-0.6290548380893995
3.53,-0.6286786271374333
3.54,-0.6283066222042664
3.55,-0.6279387660597737
3.56,-0.6275750021027633
3.57,-0.6272152743597604
3.58,-0.6268595274836508
3.59,-0.6265077067521951
3.6,-0.6261597580664038
3.61,-0.6258156279487823
3.62,-0.6254752635414471
3.63,-0.6251386126041043
3.64,-0.6248056235118982
3.65,-0.6244762452531383
3.66,-0.624150427426891
3.67,-0.6238281202404489
3.68,-0.6235092745066779
3.69,-0.6231938416412404
3.7,-0.6228817736596988
3.71,-0.6225730231745055
3.72,-0.6222675433918751
3.73,-0.6219652881085453
3.74,-0.6216662117084318
3.75,-0.6213702691591697
3.76,-0.6210774160085635
3.77,-0.6207876083809236
3.78,-0.6205008029733158
3.79,-0.6202169570517113
3.8,-0.6199360284470479
3.81,-0.619657975551205
3.82,-0.619382757312891
3.83,-0.6191103332334527
3.84,-0.6188406633626049
3.85,-0.6185737082940929
3.86,-0.6183094291612699
3.87,-0.6180477876326268
3.88,-0.6177887459072406
3.89,-0.617532266710171
3.9,-0.6172783132877993
3.91,-0.617026849403115
3.92,-0.6167778393309484
3.93,-0.6165312478531585
3.94,-0.6162870402537777
3.95,-0.6160451823141152
3.96,-0.6158056403078256
3.97,-0.6155683809959407
3.98,-0.6153333716218717
3.99,-0.615100579906388
4.0,-0.6148699740425609
4.01,-0.6146415226907009
4.02,-0.6144151949732621
4.03,-0.6141909604697393
4.04,-0.6139687892115534
4.05,-0.6137486516769164
4.06,-0.6135305187857032
4.07,-0.6133143618943087
4.08,-0.6131001527905051
4.09,-0.6128878636883033
4.1,-0.6126774672228094
4.11,-0.6124689364450961
4.12,-0.612262244817074
4.13,-0.6120573662063742
4.14,-0.6118542748812457
4.15,-0.6116529455054637
4.16,-0.6114533531332547
4.17,-0.6112554732042395
4.18,-0.6110592815383962
4.19,-0.6108647543310449
4.2,-0.6106718681478549
4.21,-0.6104805999198775
4.22,-0.610290926938602
4.23,-0.6101028268510498
4.24,-0.6099162776548833
