dist,energy1,energy2,energy3,energy4,energy5,energy6,energy7,energy8,energy9,energy10
1.0000000000000002,-0.6185777829856743,-0.6154020979472945,-0.6359233344415759,-0.6301304207607239,-0.639726275878124,-0.6084043194150178,-0.6201309509146196,-0.6181805469526098,-0.6184640085037305,-0.6139690944334549
1.0000000000000002,-0.751427637114419,-0.7373901623582173,-0.7402165593972454,-0.7381222576783625,-0.743314578094423,-0.7436169530888543,-0.7310369509170338,-0.7495352929240324,-0.7409977629895418,-0.7422052160859595
1.0000000000000002,-0.8095575667888171,-0.8254353025361407,-0.8327665756282777,-0.8270503970289005,-0.8334760192384429,-0.8204031522508355,-0.8193388990055597,-0.8291434366273313,-0.8266618489516262,-0.8191105302709625
1.0000000000000002,-0.8705501187675941,-0.871856422732458,-0.8716615382833925,-0.8760852361688002,-0.8802677491558819,-0.8688300252142481,-0.8679532701029978,-0.8752569165697927,-0.8660698123801712,-0.866548480530122
1.0000000000000002,-0.9057117508267624,-0.9060465557448631,-0.9174191588471364,-0.9118254374947344,-0.9160133293899168,-0.9056031885778646,-0.903379986995246,-0.9015896646510468,-0.8994266642064624,-0.9038765607231434
1.0000000000000002,-0.9254501961704688,-0.9298068438630732,-0.945638551343358,-0.9429735975239556,-0.9385021166436008,-0.9265739931471532,-0.9291975149721784,-0.9217325537929149,-0.922749841458709,-0.9269350525839366
0.9500000000000002,-0.954266275513756,-0.9441900798362796,-0.956708714090782,-0.962235403526751,-0.9629822578369472,-0.949066751526637,-0.9508337271269252,-0.9503996931319568,-0.9473143607221758,-0.9506652379448494
0.9500000000000002,-0.9650946925711944,-0.9664622883896036,-0.9740892267574612,-0.9781518829255624,-0.9774318386465772,-0.9682847630008414,-0.9632899124283262,-0.9658190133683942,-0.9657565408229546,-0.9625777785198051
0.9000000000000001,-0.9793658118557363,-0.974242495886968,-0.994306414020576,-0.999506020645556,-0.9883054303402232,-0.9784206097007576,-0.9817343355175416,-0.9801828124955352,-0.9811880092433202,-0.9842872657157855
0.8500000000000001,-0.9955115421227012,-0.9936615286546612,-1.0035285815679376,-1.004887180548511,-0.995521627908944,-0.9904809069174364,-0.989368932117986,-0.9940081528677478,-0.995453173568767,-0.9908043085939301
0.8500000000000001,-1.002181242946777,-0.9994083814245198,-1.0137745245143628,-1.0077533014807063,-1.0089531294089276,-1.0008636930017911,-1.0043031359396566,-1.006409169197937,-1.0053063381788052,-1.0096059171071536
0.8500000000000001,-1.0141135717904388,-1.0150754934512591,-1.020343198042828,-1.021815295473214,-1.0162408075143192,-1.0127150208912894,-1.0127836813443565,-1.0122366562547225,-1.0179775777912716,-1.0175368977534978
0.8500000000000001,-1.024119801786727,-1.0229276695746714,-1.0235791146262938,-1.0260108955474303,-1.0241056954645824,-1.0277047587503914,-1.0248333482649736,-1.0237247354921464,-1.0228976861853842,-1.0223061753223188
0.9000000000000001,-1.0279257622550655,-1.027508427689437,-1.0364392707903602,-1.033012070960026,-1.03527673276781,-1.030604847333852,-1.0249287087604473,-1.0290477148982642,-1.0309467304368267,-1.029655409938825
0.8,-1.032971309305192,-1.0351138092961416,-1.045288743562312,-1.0383914709306374,-1.0402821510082043,-1.0346337170378963,-1.0333199837456188,-1.0336836580282998,-1.034706546285883,-1.0333218869468148
0.8,-1.0427694018922296,-1.0428104643531066,-1.047183526968958,-1.0485844186494035,-1.048830471678694,-1.0419697276182929,-1.0413003867178927,-1.0429029303581707,-1.045226656758612,-1.040658265728036
0.8500000000000001,-1.04727276104477,-1.048988342027282,-1.0521163899630226,-1.0550257253643045,-1.0538014183116875,-1.049590457160579,-1.0507331867145064,-1.0495212917508152,-1.0505390891008868,-1.0483457192425316
0.8,-1.0540963967368,-1.058073026063736,-1.056871357748481,-1.0572205364117595,-1.0570954144744438,-1.0548077101150994,-1.0556315898833366,-1.0579973244376009,-1.0538704713264528,-1.0561691680385124
0.8500000000000001,-1.0583897707921808,-1.0610215656548974,-1.0638085748156612,-1.0598519615182869,-1.0602932313638052,-1.061813904707242,-1.0618377743760006,-1.0621050778832326,-1.0618453122978864,-1.0634815905726736
0.8500000000000001,-1.0636288631399569,-1.0690550861373849,-1.0637946424071965,-1.0667188157085703,-1.066484463083898,-1.064967706933975,-1.0641408504017058,-1.0698081475244696,-1.0671010650146018,-1.066438960488692
0.8,-1.0679892619122755,-1.071976378967109,-1.0722653539962614,-1.071060208588249,-1.072495411021078,-1.0681144071033395,-1.0679572019597463,-1.0711835588247274,-1.0709186319037085,-1.0723753725806908
0.8,-1.0704307572359666,-1.0700987858890043,-1.0749676966070316,-1.0728627489666092,-1.075732625157364,-1.068444193412684,-1.0735932403605908,-1.0700356972257088,-1.0745786474018224,-1.0694701193648157
0.8,-1.071748121278573,-1.0714197811904629,-1.0769467144075957,-1.0796883955391774,-1.0757794656070685,-1.0737483466312727,-1.073256004109856,-1.0722383833024614,-1.074772255220286,-1.075383829284905
0.8,-1.0695771343569374,-1.0724637839884532,-1.0821926207975356,-1.082101992536335,-1.0788319706296323,-1.0735123606864438,-1.074320011911863,-1.0748252039916848,-1.071253719747817,-1.075738600073267
0.8,-1.0758546124688249,-1.0779909245517114,-1.0830687691622622,-1.0813843481321312,-1.0847276444947935,-1.075259958212751,-1.0744334512210272,-1.0755350135879376,-1.0745134979683266,-1.0768425281054448
0.8,-1.0777309103054713,-1.0771183881707902,-1.0834870249970006,-1.0850878100229575,-1.0869700093942374,-1.0760684692149765,-1.077536086440026,-1.0741247809368386,-1.0801842052254864,-1.0778064311213251
