accuracies,ucc_energy_1,ucc_energy_2,ucc_energy_3,ucc_energy_4,ucc_energy_5,ucc_energy_6,ucc_energy_7,ucc_energy_8,ucc_energy_9,ucc_energy_10
13.51670764333245,-2.725600533875582,-2.717211782101285,-2.7143437751969604,-2.725365601494329,-2.7258468526085013,-2.714036317197281,-2.724237204494279,-2.710787603444115,-2.7168412125119423,-2.6982834870382604
15.502096732590337,-2.7257936049465648,-2.7393796713286847,-2.740041538302856,-2.739846427371317,-2.7335971380312176,-2.7275483747835496,-2.718065796582487,-2.734225205567944,-2.734877532076644,-2.7335923180066874
17.77910786027327,-2.749003727062825,-2.740142223269036,-2.7556269577275843,-2.7465564085126832,-2.738252422110739,-2.7435422264111806,-2.7387490815293374,-2.748687106935525,-2.738451709243175,-2.7483667112535404
20.39057565952968,-2.752677677447992,-2.761037140054331,-2.756910290118084,-2.7568329438003416,-2.7528849915082394,-2.7677378942013053,-2.7675458604471777,-2.757833339117143,-2.7590933842112904,-2.76080031523767
23.38562648894428,-2.778004837723808,-2.774463899407664,-2.777451670863107,-2.7651765659916,-2.7693506015881075,-2.774326053207222,-2.778007248244702,-2.776527463022136,-2.771797068985244,-2.778221077051154
26.82060258680438,-2.775557981746721,-2.7785953641223964,-2.7842631502940787,-2.780574542407282,-2.7819248099907763,-2.78475383400304,-2.786549554496816,-2.7877632170632927,-2.784872874168106,-2.7821346876198465
30.760121968909985,-2.796614528948929,-2.7892188683884416,-2.786507581376453,-2.7974580746141235,-2.7938134090934783,-2.7868476498015045,-2.786936706963788,-2.796403941301318,-2.7859050705759776,-2.7939323293614335
35.27829400849247,-2.801929891795248,-2.805152161292656,-2.794916894878708,-2.8004590849313296,-2.800175531909457,-2.7945368089676776,-2.794078759429184,-2.805276562982891,-2.7948338819648337,-2.79869417659889
40.46011356546445,-2.808567866999023,-2.8064748140990683,-2.809441387437821,-2.803024847158775,-2.8092992447678684,-2.808658070182041,-2.811354137845212,-2.8070833817730474,-2.809044129886165,-2.802720745706166
46.40305989105377,-2.815911909393677,-2.81556010961501,-2.818191903138425,-2.809539353867424,-2.813552499193788,-2.818333436392501,-2.812747189251919,-2.8174584321001905,-2.8168700070025707,-2.812016387862596
53.218930386064685,-2.817552826611579,-2.82173785902368,-2.819544925275168,-2.823578565354973,-2.823327419506917,-2.823725196388993,-2.817150447100808,-2.816308607879661,-2.8212544601787704,-2.8195555669021597
61.03594370902339,-2.825975586720457,-2.82831756860885,-2.825167311225332,-2.8284210092685207,-2.826552284039053,-2.822259977382433,-2.8234170544468453,-2.821353168139676,-2.8243593819728066,-2.825032045799209
70.00115179741678,-2.8289232401390128,-2.830916500093901,-2.8269255945255702,-2.832510472229373,-2.830959707456424,-2.826274859490113,-2.832477491716128,-2.8297928143848745,-2.828404442671829,-2.826993463020619
80.28320617643801,-2.8330643114002565,-2.832231504907608,-2.8327294414371886,-2.833982025101242,-2.8315455742081688,-2.8345064481903224,-2.830720518901838,-2.83161118189888,-2.8356878865901107,-2.832301851031211
92.07553059443092,-2.834641357294617,-2.8381946950374948,-2.837397805130585,-2.8360303161212643,-2.835898640682419,-2.835156327893709,-2.838543200617503,-2.8367314063190707,-2.835339185048875,-2.8362132934910673
105.59995966795525,-2.842478566046503,-2.8387701752806067,-2.8386994029106067,-2.840522842680555,-2.8399586939603614,-2.838762569484801,-2.838768031875009,-2.8405894892711885,-2.838220934645391,-2.840934390949856
121.11091198586308,-2.8442329702544367,-2.844032752935917,-2.842686141449631,-2.8416137461369138,-2.843709068582369,-2.841300483623165,-2.8426508422380588,-2.843184002771231,-2.8412184854641,-2.843407409572276
138.90017617590524,-2.8443347732850968,-2.844853472058351,-2.844232827372654,-2.8459224233967384,-2.8443617437534794,-2.846078506607399,-2.8462946690373943,-2.845448127551194,-2.8461450361605043,-2.8452795744883828
159.3023999683,-2.84647894534652,-2.848925653730321,-2.846884145159708,-2.8474159334369857,-2.848487642077949,-2.8485398981404386,-2.846706194805479,-2.846890399123014,-2.8473047201155577,-2.8463551384300727
