accuracies,ucc_energy,ucc_length
11.0,-1.001328387661032,0.9201190768987544
13.0,-1.0186229465124976,0.8795103173682657
15.0,-1.032072210729578,0.8502830927586362
17.0,-1.0368710925545626,0.8448524166718362
19.0,-1.050592132818858,0.8063443121946745
21.0,-1.0565549405022814,0.8024138404482231
23.0,-1.060198052253048,0.7889100173773868
25.0,-1.058676216661848,0.7918788772269839
27.0,-1.0734607855297766,0.7639320225002102
29.0,-1.0727832285127703,0.7639320225002102
31.0,-1.0710868936600355,0.7639320225002102
33.0,-1.0752441790506957,0.7639320225002102
35.0,-1.0818918646699447,0.7639320225002102
37.0,-1.0874380221449618,0.7639320225002102
39.0,-1.0862769433625603,0.7639320225002102
41.0,-1.091189615467778,0.7639320225002102
43.0,-1.0940261074070574,0.7639320225002102
45.0,-1.0948651076246574,0.7639320225002102
47.0,-1.0927368750404394,0.7639320225002102
49.0,-1.1006992018612207,0.7639320225002102
51.0,-1.100144895492965,0.7639320225002102
53.0,-1.1033036081156886,0.7639320225002102
55.0,-1.0993935994475743,0.7639320225002102
57.0,-1.1003661820559307,0.7639320225002102
59.0,-1.1034472715641843,0.7639320225002102
61.0,-1.1041465684807714,0.7639320225002102
63.0,-1.1037243109247767,0.7639320225002102
65.0,-1.110084418005679,0.7639320225002102
67.0,-1.1078847459239118,0.7639320225002102
69.0,-1.1065022214089963,0.7639320225002102
71.0,-1.107484577810288,0.7639320225002102
73.0,-1.1112913488345986,0.7639320225002102
75.0,-1.1135408536181413,0.7639320225002102
77.0,-1.1095509627149889,0.7639320225002102
79.0,-1.1126362533009428,0.7639320225002102
81.0,-1.111380728555579,0.7639320225002102
83.0,-1.115717056587424,0.7639320225002102
85.0,-1.11277193459506,0.7639320225002102
87.0,-1.1145909678795227,0.7639320225002102
89.0,-1.113400130076333,0.7639320225002102
91.0,-1.1166925901072662,0.7639320225002102
93.0,-1.1163027489446595,0.7639320225002102
95.0,-1.1154945006452806,0.7639320225002102
97.0,-1.115623301284446,0.7639320225002102
99.0,-1.116898244847004,0.7639320225002102
101.0,-1.1182237186513786,0.7639320225002102
103.0,-1.1164404928654246,0.7639320225002102
105.0,-1.1169857992783936,0.7639320225002102
107.0,-1.1175472352496434,0.7639320225002102
109.0,-1.1185815376681083,0.7639320225002102
111.0,-1.1196079181016168,0.7639320225002102
113.0,-1.1183554143142178,0.7639320225002102
115.0,-1.121345529934117,0.7639320225002102
117.0,-1.118786057713099,0.7639320225002102
119.0,-1.11974905636655,0.7639320225002102
121.0,-1.1211566172201404,0.7639320225002102
123.0,-1.1214981553470005,0.7639320225002102
125.0,-1.1198762216507705,0.7639320225002102
127.0,-1.12292538808131,0.7639320225002102
129.0,-1.1229992805533222,0.7639320225002102
131.0,-1.1206975189642614,0.7639320225002102
133.0,-1.1209293774040658,0.7639320225002102
135.0,-1.1233737046251235,0.7639320225002102
137.0,-1.12228400694484,0.7639320225002102
139.0,-1.1231121023683477,0.7639320225002102
141.0,-1.121722524269622,0.7639320225002102
143.0,-1.122141201193498,0.7639320225002102
145.0,-1.123407485155281,0.7639320225002102
147.0,-1.123179163138329,0.7639320225002102
149.0,-1.1247523102242478,0.7639320225002102
151.0,-1.123930363377449,0.7639320225002102
153.0,-1.1233956739099749,0.7639320225002102
155.0,-1.1232643008973413,0.7639320225002102
157.0,-1.125522538340089,0.7639320225002102
159.0,-1.1245671359417615,0.7639320225002102
161.0,-1.123860562215599,0.7639320225002102
163.0,-1.1259053118075544,0.7639320225002102
165.0,-1.1250310229539509,0.7639320225002102
167.0,-1.1241122950006626,0.7639320225002102
169.0,-1.124453219945194,0.7639320225002102
171.0,-1.126023339551088,0.7639320225002102
173.0,-1.125561943543493,0.7639320225002102
175.0,-1.125140945301912,0.7639320225002102
177.0,-1.1256147676233934,0.7639320225002102
179.0,-1.1249424987707262,0.7639320225002102
181.0,-1.1262504375800009,0.7639320225002102
183.0,-1.1264189542052072,0.7639320225002102
185.0,-1.125789272785321,0.7639320225002102
187.0,-1.125734940583516,0.7639320225002102
189.0,-1.1255279780278822,0.7639320225002102
191.0,-1.1257437339230514,0.7639320225002102
193.0,-1.1265688707844574,0.7639320225002102
195.0,-1.1259561079843472,0.7639320225002102
197.0,-1.1267182451415088,0.7639320225002102
199.0,-1.127044579117737,0.7639320225002102
216.03212307066894,-1.1271901799260569,0.7639320225002102
248.85881380580614,-1.1290452345797672,0.7639320225002102
286.6736128338375,-1.1295633963483769,0.7639320225002102
330.23447728612285,-1.1311909245322531,0.7639320225002102
380.41453801905874,-1.1315647808376612,0.7639320225002102
438.2196005866136,-1.132192047809629,0.7639320225002102
504.8083055350276,-1.132573234320541,0.7639320225002102
581.5153521111805,-1.1330690656087856,0.7639320225002102
669.8782508789884,-1.1340071569876682,0.7639320225002102
771.6681414713509,-1.1342814891220294,0.7639320225002102
888.9252931864766,-1.1343873310601458,0.7639320225002102
1024.0,-1.1346630498746573,0.7639320225002102
